timestamp;cpu;mem;disk;net_sent;net_recv
1765250594;16.3;29.9;6.1;146750323;156383031
1765250595;14.9;29.9;6.1;146834108;156387629
1765250596;14.6;29.9;6.1;146898720;156390822
1765250597;14.7;28.5;6.1;146977893;156394626
1765250598;14.8;28.6;6.1;147057346;156398494
1765250599;14.8;28.6;6.1;147151340;156402845
1765250600;14.9;28.6;6.1;147233821;156407678
1765250601;14.8;28.6;6.1;147311917;156412381
1765250602;14.6;28.6;6.1;147391541;156416243
1765250603;14.7;28.6;6.1;147471173;156420328
1765250605;14.9;28.6;6.1;147550917;156424190
1765250606;16.1;28.6;6.1;147634325;156430025
1765250607;15.5;28.7;6.1;147714593;156434390
1765250608;15.6;29.6;6.1;147745576;156437461
1765250609;17.1;29.7;6.1;147816367;156442694
1765250610;15.6;29.7;6.1;147896483;156446556
1765250611;16.2;29.7;6.1;147978139;156451008
1765250612;15.1;29.7;6.1;148069608;156456177
1765250613;19.3;29.8;6.1;148212301;156508262
1765250614;16.9;29.8;6.1;148343828;156560532
1765250616;19.5;29.8;6.1;148471831;156612181
1765250617;18.2;29.8;6.1;148599666;156663397
1765250618;15.8;29.8;6.1;148715116;156714178
1765250619;17.7;29.8;6.1;148843863;156765715
1765250620;17;29.8;6.1;148961803;156817042
1765250621;17;29.8;6.1;149034740;156867144
1765250622;16.7;29.8;6.1;149155293;156918597
1765250623;17.3;29.8;6.1;149295888;156970886
1765250624;18.9;29.8;6.1;149425997;157022552
1765250625;18;29.8;6.1;149554706;157073994
1765250626;17.6;29.8;6.1;149684955;157125208
1765250627;18.1;29.8;6.1;149813698;157176693
1765250629;16.2;29.8;6.1;149942618;157228299
1765250630;17.6;29.8;6.1;150073098;157280349
1765250631;17;29.8;6.1;150203710;157332810
1765250632;17.2;29.8;6.1;150334348;157384800
1765250633;18.1;29.9;6.1;150465066;157437077
1765250634;16.5;29.9;6.1;150594384;157488339
1765250635;17.2;29.9;6.1;150725262;157539891
1765250636;17.2;29.9;6.1;150854740;157591273
1765250637;17.2;29.9;6.1;150931990;157641436
1765250638;17.1;29.9;6.1;151110214;157740454
1765250639;17.3;29.9;6.1;151192846;157744678
1765250640;19.2;29.9;6.1;151322592;157796530
1765250641;16.6;29.9;6.1;151383132;157845736
1765250642;17.4;29.9;6.1;151497896;157896383
1765250644;16.7;28.6;6.1;151617421;157948118
1765250645;17.3;28.6;6.1;151732397;157999019
1765250646;17.4;28.6;6.1;151847341;158049666
1765250647;17.1;28.6;6.1;151963825;158100837
1765250648;16.9;28.7;6.1;152081685;158153035
1765250649;17.5;28.8;6.1;152147375;158202897
1765250650;17.7;28.8;6.1;152262534;158253612
1765250651;17.5;28.8;6.1;152377733;158304534
1765250652;17.3;28.8;6.1;152494472;158355699
1765250653;17;28.8;6.1;152609811;158406354
1765250654;17;28.8;6.1;152726670;158457441
1765250655;18.4;28.8;6.1;152889213;158555014
1765250656;16.9;28.8;6.1;152957550;158558563
1765250657;17.5;28.8;6.1;153120231;158656264
1765250658;17.5;28.8;6.1;153194144;158660297
1765250660;16.7;28.8;6.1;153309864;158710884
1765250661;17.3;28.8;6.1;153413273;158761052
1765250662;17.2;28.9;6.1;153530665;158812273
1765250663;17.1;28.9;6.1;153647048;158862958
1765250664;17;29;6.1;153751296;158913460
1765250665;16.8;29.1;6.1;153835032;158963455
1765250666;16.5;29.1;6.1;153943008;159014703
1765250667;16.6;29.1;6.1;154060534;159066144
1765250668;16.2;29.1;6.1;154178105;159117537
1765250669;16;29.3;6.1;154291029;159168271
1765250670;16.1;29.3;6.1;154413049;159219824
1765250671;16.2;29.3;6.1;154529266;159270419
1765250672;17.2;29.3;6.1;154647289;159322357
1765250673;16.5;29.3;6.1;154763596;159373012
1765250674;16.8;29.3;6.1;154879948;159423607
1765250676;16;29.3;6.1;154996417;159474262
1765250677;16;29.3;6.1;155112857;159524677
1765250678;16.6;29.3;6.1;155229641;159577041
1765250679;16.5;29.3;6.1;155349357;159628887
1765250680;15.6;29.3;6.1;155453533;159679174
1765250681;16.2;29.3;6.1;155533462;159729316
1765250682;15.9;29.3;6.1;155643639;159779656
1765250683;16.8;29.3;6.1;155760374;159831025
1765250684;17;29.3;6.1;155843206;159880906
1765250685;16.5;29.3;6.1;155939782;159931082
1765250686;16.5;29.3;6.1;156056702;159981909
1765250687;16.5;29.3;6.1;156173615;160032504
1765250688;16.5;29.3;6.1;156337575;160130161
1765250689;17.4;29.5;6.1;156410869;160134750
1765250691;16.4;29.5;6.1;156527917;160185620
1765250692;18.5;29.5;6.1;156682254;160286068
1765250693;17.6;29.6;6.1;156767792;160290159
1765250694;21;29.9;6.1;156889652;160344058
1765250695;20.4;28.6;6.1;157008455;160394725
1765250696;18.4;28.6;6.1;157127303;160445811
1765250697;16.8;28.6;6.1;157244664;160496406
1765250698;18;28.6;6.1;157409176;160594167
1765250699;18;28.6;6.1;157480979;160598370
1765250700;17.4;28.7;6.1;157599295;160649453
1765250701;16.9;28.7;6.1;157720530;160701211
1765250702;18;28.7;6.1;157890000;160799997
